sortOrder,titulo,categorias,referencia,preco,id,
,Lixeira Inox coleta seletiva - redonda com pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2191,,product-2191,
,Lixeira Inox com pedal - de 15L a 100L,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2131,,product-2131,
,Lixeira Inox Quadrada c/ Pedal - de 15L a 120L,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2181,,product-2181,
,Lixeira Inox Redonda com Pedal 30 Litros MSP376,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMIMSP376,,product-1867,
,Lixeira 15 Litros em Aço Inox com Pedal e Recipiente Plástico,Lixeiras e Contentores / Com Pedal / Lixeiras Inox / Lixeiras Plástico,CMI3585,,product-1295,
,"Lixeira em Aço Inox com Pedal e Recipiente Plástico - 4,5L",Lixeiras e Contentores / Com Pedal / Lixeiras Inox / Lixeiras Plástico,CMI3505,,product-1293,
,Lixeira Papacopo Água Água PP22,Lixeiras e Contentores / Lixeira para Copos,CMIPP22,,product-1273,
,Lixeira Papacopo Água Café PP21,Lixeiras e Contentores / Lixeira para Copos,CMIPP21,,product-1275,
,Lixeira Papacopo Água PP2,Lixeiras e Contentores / Lixeira para Copos,CMIPP2,,product-1277,
,Lixeira Papacopo Café Café PP11,Lixeiras e Contentores / Lixeira para Copos,CMIPP11,,product-1281,
,Lixeira Papacopo Café PP1,Lixeiras e Contentores / Lixeira para Copos,CMIPP1,,product-1279,
,Lixeira para copos de café descartáveis Preta,Lixeiras e Contentores / Lixeira para Copos,CMIMSP261,,product-1891,
,Lixeira para copos de café e água descartáveis Preta,Lixeiras e Contentores / Lixeira para Copos,CMIMSP259,,product-1839,
,Lixeira Redonda c/ Tampa p/ Copos Descartáveis Água e Café Preta,Lixeiras e Contentores / Lixeira para Copos,CMICL51PR+MSP529,,product-741,
,Lixeira Redonda c/ Tampa para Copos de Água Descartáveis Branca,Lixeiras e Contentores / Lixeira para Copos,CMICL51BR+MSP513,,product-743,
,Cesto Aço Inox Porta Guarda Chuva - 25 Litros,Lixeiras e Contentores / Lixeiras Inox,CMIKITINOXGUARD,,product-1815,
,Cesto de inox - Porta Guarda-chuva,Lixeiras e Contentores / Lixeiras Inox,CMI2183,,product-2183,
,Cesto para Lixo 14 Litros sem Tampa,Lixeiras e Contentores / Lixeiras Inox,CMICL24,,product-1309,
,Cesto para Lixo 23 Litros sem Tampa CL51,Lixeiras e Contentores / Lixeiras Inox,CMICV51,,product-165,
,Cesto Porta Guarda Chuva Inox Metal - 25 Litros MSP741,Lixeiras e Contentores / Lixeiras Inox,CMIMSP741,,product-1865,
,Cesto Porta Guarda-chuva Inox Perfurado,Lixeiras e Contentores / Lixeiras Inox,CMI3547,,product-1299,
,Lixeira Aço Inox 15 Litros,Lixeiras e Contentores / Lixeiras Inox,CMIMSP380,,product-1859,
,Lixeira Inox 25 litros 24Dx50A Aldinox MSP382,Lixeiras e Contentores / Lixeiras Inox,CMIMSP382,,product-1863,
,Lixeira Inox c/ Tampa Aro - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2177,,product-2177,
,Lixeira Inox c/ Tampa Basculante - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2133,,product-2133,
,Lixeira Inox c/ Tampa Flip Top Basculante Inox - de 10L a 50L,Lixeiras e Contentores / Lixeiras Inox,CMI2103,,product-2103,
,Lixeira Inox coleta seletiva - redonda com tampa basculante,Lixeiras e Contentores / Lixeiras Inox,CMI2195,,product-2195,
,Lixeira Inox Quadrada c/ Tampa Aro - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2137,,product-2137,
,Lixeira Inox Quadrada c/ Tampa Basculante - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2139,,product-2139,
,Lixeira Inox sem tampa - de 10L a 50L,Lixeiras e Contentores / Lixeiras Inox,CMI2105,,product-2105,
,Lixeira Inox sem tampa - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2179,,product-2179,
,Lixeira inox quadrada para Copos Descartáveis,Lixeiras e Contentores / Lixeiras Inox / Lixeira para Copos,CMI1823,,product-1823,
,Lixeira inox redonda para Copos Descartáveis Inox,Lixeiras e Contentores / Lixeiras Inox / Lixeira para Copos,CMI1825,,product-1825,
,Cesto para Lixo em Aço Inox com Aro Plástico 7L,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMI3545,,product-1301,
,Lixeira em plástico 23 Lts c/Tampa Aro Inox,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMICL51PR+MSP363,,product-1369,
,Lixeira Inox 50L com Fundo de Plástico,Lixeiras e Contentores / Lixeiras Inox / Lixeiras Plástico,CMIMSP388,,product-1869,
,Lixeira 23 Litros em plástico redonda sem tampa,Lixeiras e Contentores / Lixeiras Plástico,CMICL51,,product-1311,
,Lixeira Cesto Porta Guarda Chuva 23 Litros COM ADESIVO GUARDA CHUVA,Lixeiras e Contentores / Lixeiras Plástico,CMICL51GUARD,,product-1345,
,Lixeira Cesto Quadrado 100 Lts com Tampa Basculante CD11,Lixeiras e Contentores / Lixeiras Plástico,CMICD11,,product-301,
,Lixeira Cesto Quadrado 60 Lts c/ Tampa Basculante CV61,Lixeiras e Contentores / Lixeiras Plástico,CMICV61,,product-149,
,Cesto de Lixo 14 litros sem tampa nas Cores da Coleta Seletiva,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMICV30,,product-147,
,Coleta Seletiva Papeleira DINA - conjunto com 4 lixeiras + suporte,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIDINAKIT,,product-1813,
,Conjunto 2 Lixeiras Coleta Seletiva + Base + Tampa,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMICOMALI02SR,,product-327,
,Conjunto 3 Lixeiras Coleta Seletiva + Base + Tampa,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMICOMALI09,,product-1789,
,CONJUNTO 3 LIXEIRAS COLETA SELETIVA + BASE + TAMPA,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMI2093,,product-2093,
,Conjunto Coleta Seletiva 4 lixeiras 50 Litros com Suporte Metálico,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIKTLX50PL,,product-1519,
,Conjunto Coleta Seletiva 4 Lixeiras 50 Lts e Base com Rodas,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMICOMALI04CR,,product-1877,
,Conjunto Coleta Seletiva c/ 4 Lixeiras de 50 Litros + Base (Com rodas ou Sem rodas),Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMI2081,,product-2081,
,Conjunto de 2 lixeiras para Coleta Seletiva com tampa e módulo,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMILS52,,product-2095,
,Lixeira 50 litros + suporte para coleta seletiva DINA,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIDINAKIT2,,product-1819,
,Lixeira 50 Litros com Suporte para Coleta Seletiva LS5P,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMILS5P,,product-1337,
,Lixeira plástico para coleta seletiva DINA 50 Litros,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIDINA,,product-1363,
,Lixeira retangular para coleta Seletiva 50 Litros com alça,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMILS52,,product-2085,
,Container de Lixo Hospitalar 1000 Litros C/Pedal Branco,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP1000H,,product-195,
,Contentor de Lixo 1000 Litros COM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP1000,,product-115,
,Contentor de Lixo 120 Litros COM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP120,,product-121,
,Contentor de lixo 120 litros com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP12,,product-2017,
,Contentor de lixo 240 Litros COM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP240,,product-123,
,Contentor de Lixo 240 Litros com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP24,,product-2019,
,Contentor de Lixo 360 Litros COM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP360,,product-125,
,Contentor de Lixo 700 Litros COM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP700,,product-155,
,Contentor de Lixo Hospitalar 660 litros c/Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP700H,,product-29,
,Contentor Hospitalar 120 litros c/Pedal (coletor de resíduos) Branco,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP120H,,product-27,
,Contentor Hospitalar 240 litros c/Pedal (coletor de resíduos) Branco,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP240H,,product-31,
,Contentor Hospitalar 360 litros c/ c Pedal Branco,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP360H,,product-35,
,Lixeira 100 Litros com Pedal e Rodas,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP11,,product-675,
,Lixeira 100 Litros com Pedal sem rodas,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP10,,product-319,
,Lixeira 100 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF100,,product-701,
,Lixeira 15 Litros com Pedal em plástico,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP15,,product-131,
,Lixeira 30 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP30,,product-151,
,Lixeira 35 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF35,,product-717,
,Lixeira 50 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF50,,product-713,
,Lixeira 60 Litros com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP60,,product-303,
,Lixeira Plástico 17 Litros com Pedal Branca LPF17,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF17BR,,product-703,
,Contentor de Lixo 1000 Litros SEM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC1000,,product-1525,
,Contentor de lixo 120 Litros,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC120-,,product-141,
,Contentor de Lixo 120 litros SEM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC120,,product-1527,
,Contentor de Lixo 240 litros,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC240-,,product-293,
,Contentor de lixo 240 litros SEM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC240,,product-127,
,Contentor de Lixo 360 Litros SEM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC360,,product-805,
,Contentor de lixo 700 litros SEM PEDAL,Lixeiras e Contentores / Lixeiras Plástico / Sem Pedal,CMIC700,,product-119,
,Refil Mop Úmido p/ Mop Pró (s/cabo/sup) BR,MOP / Variedades,CMI380005,,product-1805,
,Super Mop Doméstico,MOP / Variedades,CMISM600,,product-245,
,Super Mop Profissional,MOP / Variedades,CMISM700,,product-247,
,Desinfetante Concentrado 5L Marine,Produtos Químicos Concentrados,CMI3795,,product-2029,
,Detergente e Desincrustante Alcalino Clorado Concentrado Espuma Clor 1L,Produtos Químicos Concentrados,CMI3295,,product-2035,
,Detergente e Desincrustante Alcalino Clorado Concentrado Espuma Clor 5 Litros,Produtos Químicos Concentrados,CMI3290,,product-1773,
,Detergente Multiuso Concentrado 1L - 1000 Plus,Produtos Químicos Concentrados,CMI2062,,product-2037,
,Detergente Multiuso NEUTRO Concentrado - 1000 Plus,Produtos Químicos Concentrados,CMI2067,,product-2025,
