sortOrder,titulo,categorias,referencia,preco,id,
,Tampa Aro - AR24,Acessórios / Variedades / Tampas / Lixeiras Plástico,CMIAR24,,product-1537,
,Tampa Basc. p/ Cesto 14/23 Lts,Acessórios / Variedades / Tampas / Lixeiras Plástico,CMITB24,,product-1529,
,Tampa Basculante Frontal p/ Lixeira Retangular de 50 Lts - TB50,Acessórios / Variedades / Tampas / Lixeiras Plástico,CMITB50,,product-1531,
,Tampa Basculante Transversal para Lixeira Retangular de 50 Lts,Acessórios / Variedades / Tampas / Lixeiras Plástico,CMITB51,,product-157,
,Tampa Meia Lua para Cesto 14/23 Litros,Acessórios / Variedades / Tampas / Lixeiras Plástico,CMITB25X,,product-1611,
,Tampa Simples p/ Lixeira Retangular de 50 Lts,Acessórios / Variedades / Tampas / Lixeiras Plástico,CMITS50,,product-139,
,Adaptador Angular 90º - AA090,Acessórios para Reposição,CMIAA090,,product-1781,
,Escova Aérea p/ Tubo - ET603,Acessórios para Reposição,CMIET603,,product-1779,
,Rodas / Rodízio Giratório p/ Balde Espremedor/ Carro Funcional Pacote c/4 Unidades RD3PRO,Acessórios para Reposição,CMIRD3PRO,,product-1785,
100,Dispenser Copo Água 180/200ml em Aço com Pintura Epoxi Branco,Dispensers / Dispenser Copos / Dispenser Inox,CMIAUR180,,product-339,
,Dispenser Copo Café 50ml em Aço c/ Pintura em Epoxi Branco - AUR50,Dispensers / Dispenser Copos / Dispenser Inox,CMIAUR50,,product-337,
,Dispenser para Copos DE ÁGUA Descartáveis em Aço Inox,Dispensers / Dispenser Copos / Dispenser Inox,CMIMSP058,,product-1847,
,Dispenser para Copos DE CAFÉ Descartáveis 50ml em Inox,Dispensers / Dispenser Copos / Dispenser Inox,CMIMSP059,,product-1845,
,Porta Copos de Parede Inox Cristal - Água,Dispensers / Dispenser Copos / Dispenser Inox,CMIMSP027,,product-1893,
,Dispenser de Copos de Água com Regulador de Saída,Dispensers / Dispenser Copos / Dispenser Plástico,CMIDPCD,,product-2031,
,Dispenser para Copos de ÁGUA Poupa Copos (150/180/200ml) - 28988,Dispensers / Dispenser Copos / Dispenser Plástico,CMI28988,,product-1259,
,Dispenser para Copos de Café com Regulador de Saída,Dispensers / Dispenser Copos / Dispenser Plástico,CMIDPCAF,,product-2033,
,Dispenser para Copos Descartáveis em Acrílico - Água,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP025,,product-1851,
,Dispenser para copos descartáveis em acrílico - Café - MSP026,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP026,,product-1849,
,Dispenser Poupa Copos p/ Copos de Café Descartáveis 50 ml 32324,Dispensers / Dispenser Copos / Dispenser Plástico,CMI32298,,product-1263,
,Porta Copos de Café Descartáveis em Acrílico,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP028,,product-1835,
,Porta Copos para Balcão Duplo Água/Café,Dispensers / Dispenser Copos / Dispenser Plástico,CMIMSP010A,,product-1897,
,Embalador de Guarda Chuva em Inox,Dispensers / Dispenser Inox,CMI17124,,product-1765,
,Embalador de Guarda Chuva em Inox,Dispensers / Dispenser Inox,CMI2193,,product-2193,
,Kit de Dispenser em aço inox - LINHA NOBLE,Dispensers / Dispenser Inox,CMIKT3,,product-1763,
,Kit de Dispenser em aço inox - Linha Quadra,Dispensers / Dispenser Inox,,,product-2185,
,Porta Papel Higiênico Cai Cai Aço Inox ESCOVADO - Linha Noble,Dispensers / Dispenser Inox / Papel Higiênico Rolão,CMI1054,,product-363,
,Porta Papel Higiênico Cai Cai Aço Inox ESCOVADO - Linha Quadra,Dispensers / Dispenser Inox / Papel Higiênico Rolão,CMI5489,,product-2171,
,Porta Papel Higiênico Cai Cai Aço Inox POLIDO - Linha Ideal,Dispensers / Dispenser Inox / Papel Higiênico Rolão,CMI832,,product-405,
,Porta Papel Higiênico Cai Cai Aço Inox POLIDO - Linha Quadra,Dispensers / Dispenser Inox / Papel Higiênico Rolão,CMI5471,,product-2173,
,Porta Papel Higiênico Cai Cai Aço Inox POLIDO- Linha Visium,Dispensers / Dispenser Inox / Papel Higiênico Rolão,CMI13.06,,product-1761,
,Kit de Dispenser em aço inox - LINHA NOBLE - saboneteira Slim,Dispensers / Dispenser Inox / Sabonete Líquido,CMI2187,,product-2187,
,Dispenser 3x1 - Higiênico Rolinho - Cai Cai - Toalha Interfolhas,Dispensers / Dispenser Plástico,CMIDIMMT,,product-1389,
,Dispenser de Fio de Dental Biofio,Dispensers / Dispenser Plástico,CMI1621,,product-415,
,Dispenser para Fio Dental + Refil,Dispensers / Dispenser Plástico,CMIMFPERS.MF400,,product-737,
,Dispenser para Fio Dental Personal,Dispensers / Dispenser Plástico,CMImfpers,,product-1329,
,Kit Dispenser Linha Ag+ Cai Cai,Dispensers / Dispenser Plástico,CMIKTAGMAIS,,product-1401,
,Refil Plástico para Embalador de Guarda-Chuva - 2253,Dispensers / Dispenser Plástico,CMI2253,,product-425,
,Dispenser De Papel Higiênico com suporte para cadeado 400m Em Aço com Pintura Epóxi,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI1093,,product-1757,
,Dispenser Papel Higiênico Rolão 800 mts Aço Inox C/ Suporte p/ Cadeado 598C,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI598C,,product-343,
,Dispenser Papel Higiênico Rolão aço inox 400m 596,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI596,,product-797,
,Dispenser Papel Higiênico Rolão aço inox 400m com suporte p/ Cadeado 596C,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI596C,,product-1373,
,Dispenser para Papel Higiênico Rolão 400m em Aço com Pintura Epoxi Branco,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI595,,product-333,
,Porta Papel Higiênico Rolão aço inox ESCOVADO - Linha Noble,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI1028,,product-369,
,Porta Papel Higiênico Rolão Aço Inox POLIDO - Linha Visium,Dispensers / Papel Higiênico Rolão / Dispenser Inox,CMI13.02,,product-399,
,Dispenser p/ Papel Higiênico Rolão Linha Preto - 19634,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMIC19634,,product-95,
,Dispenser Papel Higiênico Rolão,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMIC19650,,product-445,
,Dispenser para Papel Higiênico Rolão Dark,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMIC19434,,product-75,
,Kit de Dispenser Plástico Linha Ag+ Rolão,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMIKTAGRMAIS,,product-1405,
,Porta Papel Higiênico Cai Cai - Linha Hígia,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMI6006,,product-2201,
,Porta Papel Higiênico Cai Cai -Linha AG+,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMI1069,,product-407,
,Porta Papel Higiênico Rolão - Linha AG+,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMI1071,,product-409,
,Porta Papel Higiênico Rolão - Linha Hígia,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMI6003,,product-2203,
,Dispenser p/ Papel Toalha Bobina Autocorte,Dispensers / Papel Toalha Bobina / Dispenser Inox,CMILITB200,,product-429,
,Toalheiro Papel Toalha Bobina Aço Inox ESCOVADO - Linha Noble,Dispensers / Papel Toalha Bobina / Dispenser Inox,CMI1027,,product-1759,
,Toalheiro Papel Toalha Bobina Alavanca - Linha Inova,Dispensers / Papel Toalha Bobina / Dispenser Plástico,CMI1055,,product-2045,
,Dispenser p/ Papel Toalha Interfolhado 2 ou 3 Dobras em Aço Inox - TI2825I,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMITI2825I,,product-345,
,Dispenser p/ Papel Toalha Interfolhado 2 ou 3 Dobras em Epoxi Branco,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI2825,,product-335,
,Toalheiro Americano Júnior 3D p/ interf. em Aço c/ Pintura Epoxi Branco - 2027E,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMITAP2027E,,product-1411,
,Toalheiro Americano Júnior 3D p/ interf. em Aço Inox - 2027I,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMITAP2027I,,product-1413,
,Toalheiro Americano p/ Papel 3 Dobras em Aço c/ Pintura Epoxi - TAG2327E,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMITAG2327E,,product-349,
,Toalheiro Americano p/ Papel 3 Dobras em Aço Inox - TAG2327I,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMITAG2327I,,product-347,
,Toalheiro Papel Toalha Interfolhado Aço Inox ESCOVADO - Linha Noble,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI1029,,product-357,
