"Código produto";"Código loja";"Código categoria";"Data cadastro";"Nome produto";"Descrição grande";"Imagem principal";"Imagem 2";"Imagem 3";"Imagem 4";"Preço venda";"Peso";"Frete";"Estoque atual";"Estoque mínimo";"Disponível";"Inicio promoção";"Fim promoção";"Preço promoção";"Selo destaque";"Selo lançamento";"Selo adicional";"Quantidade vendida";"Marca";"Modelo";"Referência";"EAN";"Garantia";"Tamanho";"Cor";"Preço de custo";"Preço de custo em dólar";"Disponibilidade";"Itens inclusos";"Mensagem adicional";"Comprimento";"Largura";"Altura";"Data de ativação";"Data de desativação";"SEO Título";"SEO descrição simplificada";"SEO palavra chave";"Valor do IPI";"NCM";"Endereço do Produto (URL Tray)";"Imagens adicionais";"Nome categoria";"Exibir na loja"
"13";"746334";"1";"11/02/2020";"PRODUTO DE TESTE";"";"";"";"";"";"1,00";"0";"0.00";"11";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"";"";"";"";"";"";"";"0,00";"0,00";"Disponível em 5 dias úteis";"";"";"0";"0";"0";"11/02/2020";"06/10/2020";"";"";"";"";"";"https://www.comali.com.br/dispensers/produto-de-teste";"";"Dispenser";"Sim"
"27";"746334";"67";"17/02/2020";"Contentor Hospitalar 120 litros c/Pedal (coletor de resíduos) Branco - Contemar";"<h3 class=""page-title""><strong style=""font-size: 12px;"">Contentor para lixo hospitalar de alta resist&ecirc;ncia com identifica&ccedil;&atilde;o adesiva de material infectante. Contentor com pedal e rodas. Pode ser utilizado como coletor de lixo ou como lixeira hospitalar, garantindo seguran&ccedil;a e o correto manuseio de res&iacute;duos dentro de hospitais, laborat&oacute;rios e cl&iacute;nicas.</strong><br /><br /><strong style=""font-size: 12px;"">O Coletor para lixo hospitalar da Contemar &eacute;&nbsp;</strong><span style=""font-size: 12px;"">certificado pela ABNT e utilizado pelos principais hospitais do Brasil.</span></h3><p>Entre as vantagens do contentor de res&iacute;duos hospitalares Contemar, podemos destacar:</p><ul>	<li>Pedal articulado desenvolvido especialmente para facilitar o uso do mesmo e evitar o contato com a tampa.</li>	<li>Tampa integrada para acondicionar o lixo hospitalar em perfeitas condi&ccedil;&otilde;es.</li>	<li>Cantos arredondados (facilita a higieniza&ccedil;&atilde;o).</li>	<li>Rodas de borracha maci&ccedil;a, com opera&ccedil;&atilde;o mais silenciosa e simples.</li>	<li>Identifica&ccedil;&atilde;o visual do risco do res&iacute;duo armazenado.</li>	<li>Fabricado com Polietileno de Alta Densidade (PEAD) injetado; m&aacute;xima resist&ecirc;ncia e durabilidade.</li>	<li>Coletores apto para basculamento.</li>	<li>Ampla gama de tamanhos, acess&oacute;rios e pe&ccedil;as de reposi&ccedil;&atilde;o.</li>	<li>Prote&ccedil;&atilde;o UV para utiliza&ccedil;&atilde;o em ambiente externo.</li>	<li>Certificados : ABNT, TUV e ISO 9001</li></ul>";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_120_litros_c_pedal_coletor_de_residuos_branco_contemar_27_1_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_120_litros_c_pedal_coletor_de_residuos_branco_contemar_27_2_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_120_litros_c_pedal_coletor_de_residuos_branco_contemar_27_3_20200305134104.jpg";"";"0,00";"12000";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Contemar";"";"CP120H";"";"";"";"";"0,00";"0,00";"Disponível em 30 dias úteis";"";"";"49";"53";"93";"17/02/2020";"01/06/2020";"";"";"";"";"";"https://www.comali.com.br/contentor-de-lixo-hospitalar-120-litros-branco-hospitalar-contemar";"";"Com Pedal";"Sim"
"29";"746334";"67";"17/02/2020";"Contentor de Lixo Hostpitalar 660 litros c/Pedal - Contemar";"<p>Entre as vantagens da nossa linha de&nbsp;<strong>container&nbsp;de res&iacute;duos hospitalares</strong>, podemos destacar:</p><ul>	<li>Pedal articulado desenvolvido especialmente para facilitar o uso do mesmo e evitar o contato com a tampa.</li>	<li>Tampa integrada para acondicionar o lixo hospitalar em perfeitas condi&ccedil;&otilde;es.</li>	<li>Cantos arredondados (facilita a higieniza&ccedil;&atilde;o).</li>	<li>Rodas de borracha maci&ccedil;a, com opera&ccedil;&atilde;o mais silenciosa e simples.</li>	<li>Identifica&ccedil;&atilde;o visual do risco do res&iacute;duo armazenado.</li>	<li>Fabricado com Polietileno de Alta Densidade (PEAD) injetado; m&aacute;xima resist&ecirc;ncia e durabilidade.</li>	<li>Coletores apto para basculamento.</li>	<li>Ampla gama de tamanhos, acess&oacute;rios e pe&ccedil;as de reposi&ccedil;&atilde;o.</li></ul>";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_hostpitalar_660_litros_c_pedal_contemar_29_1_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_hostpitalar_660_litros_c_pedal_contemar_29_2_20200406110814.jpg";"https://images.tcdn.com.br/img/img_prod/746334/contentor_de_lixo_hostpitalar_660_litros_c_pedal_contemar_29_3_20200305134104.jpg";"";"0,00";"43000";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Contemar";"";"CP700H";"";"";"";"";"0,00";"0,00";"Disponível em 30 dias úteis";"";"";"137";"77";"121";"17/02/2020";"01/06/2020";"";"";"";"";"";"https://www.comali.com.br/contentor-de-lixo-hostpitalar-660-litros-c-pedal-cp660h-contemar";"";"Com Pedal";"Sim"
"31";"746334";"67";"17/02/2020";"Contentor Hospitalar 240 litros c/Pedal (coletor de resíduos) Branco - Contemar";"<h3 class=""page-title""><strong style=""font-size: 12px;"">Contentor para lixo hospitalar de alta resist&ecirc;ncia com identifica&ccedil;&atilde;o adesiva de material infectante. Contentor com pedal e rodas. Pode ser utilizado como coletor de lixo ou como lixeira hospitalar, garantindo seguran&ccedil;a e o correto manuseio de res&iacute;duos dentro de hospitais, laborat&oacute;rios e cl&iacute;nicas.</strong><br /><br /><strong style=""font-size: 12px;"">O Coletor para lixo hospitalar da Contemar &eacute;&nbsp;</strong><span style=""font-size: 12px;"">certificado pela ABNT e utilizado pelos principais hospitais do Brasil.</span></h3><p>Entre as vantagens do contentor de res&iacute;duos hospitalares Contemar, podemos destacar:</p><ul>	<li>Pedal articulado desenvolvido especialmente para facilitar o uso do mesmo e evitar o contato com a tampa.</li>	<li>Tampa integrada para acondicionar o lixo hospitalar em perfeitas condi&ccedil;&otilde;es.</li>	<li>Cantos arredondados (facilita a higieniza&ccedil;&atilde;o).</li>	<li>Rodas de borracha maci&ccedil;a, com opera&ccedil;&atilde;o mais silenciosa e simples.</li>	<li>Identifica&ccedil;&atilde;o visual do risco do res&iacute;duo armazenado.</li>	<li>Fabricado com Polietileno de Alta Densidade (PEAD) injetado; m&aacute;xima resist&ecirc;ncia e durabilidade.</li>	<li>Coletores apto para basculamento.</li>	<li>Ampla gama de tamanhos, acess&oacute;rios e pe&ccedil;as de reposi&ccedil;&atilde;o.</li>	<li>Prote&ccedil;&atilde;o UV para utiliza&ccedil;&atilde;o em ambiente externo.</li>	<li>Certificados : ABNT, TUV e ISO 9001</li></ul>";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_240_litros_c_pedal_coletor_de_residuos_branco_contemar_31_1_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_240_litros_c_pedal_coletor_de_residuos_branco_contemar_31_2_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_240_litros_c_pedal_coletor_de_residuos_branco_contemar_31_3_20200305134104.jpg";"";"0,00";"15000";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Contemar";"";"CP240H";"";"";"";"";"0,00";"0,00";"Disponível em 30 dias úteis";"";"";"58";"74";"108";"17/02/2020";"01/06/2020";"";"";"";"";"";"https://www.comali.com.br/contentor-hospitalar-240-litros-c-pedal-coletor-de-residuos-cp240h-branco-contemar";"";"Com Pedal";"Sim"
"35";"746334";"67";"17/02/2020";"Contentor Hospitalar 360 litros c/ c Pedal Branco - Contemar";"<h3 class=""page-title""><strong style=""font-size: 12px;"">Contentor para lixo hospitalar de alta resist&ecirc;ncia com identifica&ccedil;&atilde;o adesiva de material infectante. Contentor com pedal e rodas. Pode ser utilizado como coletor de lixo ou como lixeira hospitalar, garantindo seguran&ccedil;a e o correto manuseio de res&iacute;duos dentro de hospitais, laborat&oacute;rios e cl&iacute;nicas.</strong><br /><br /><strong style=""font-size: 12px;"">O Coletor para lixo hospitalar da Contemar &eacute;&nbsp;</strong><span style=""font-size: 12px;"">certificado pela ABNT e utilizado pelos principais hospitais do Brasil.</span></h3><p>Entre as vantagens do contentor de res&iacute;duos hospitalares Contemar, podemos destacar:</p><ul>	<li>Pedal articulado desenvolvido especialmente para facilitar o uso do mesmo e evitar o contato com a tampa.</li>	<li>Tampa integrada para acondicionar o lixo hospitalar em perfeitas condi&ccedil;&otilde;es.</li>	<li>Cantos arredondados (facilita a higieniza&ccedil;&atilde;o).</li>	<li>Rodas de borracha maci&ccedil;a, com opera&ccedil;&atilde;o mais silenciosa e simples.</li>	<li>Identifica&ccedil;&atilde;o visual do risco do res&iacute;duo armazenado.</li>	<li>Fabricado com Polietileno de Alta Densidade (PEAD) injetado; m&aacute;xima resist&ecirc;ncia e durabilidade.</li>	<li>Coletores apto para basculamento.</li>	<li>Ampla gama de tamanhos, acess&oacute;rios e pe&ccedil;as de reposi&ccedil;&atilde;o.</li>	<li>Prote&ccedil;&atilde;o UV para utiliza&ccedil;&atilde;o em ambiente externo.</li>	<li>Certificados : ABNT, TUV e ISO 9001</li></ul>";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_360_litros_c_c_pedal_branco_contemar_35_1_20200406110813.png";"https://images.tcdn.com.br/img/img_prod/746334/contentor_hospitalar_360_litros_c_c_pedal_branco_contemar_35_2_20200305134104.png";"";"";"0,00";"18000";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Contemar";"";"CP360H";"";"";"";"";"0,00";"0,00";"Disponível em 30 dias úteis";"";"";"62";"85";"110";"17/02/2020";"01/06/2020";"";"";"";"";"";"https://www.comali.com.br/contentor-hospitalar-360-litros-c-pedal-coletor-de-residuos-cp360h-branco-contemar";"";"Com Pedal";"Sim"
"51";"746334";"59";"17/02/2020";"Dispenser para Papel Toalha Interfolhado ou Higienico Cai Cai - Urban Glass Verde - Premisse";"<div><span><strong>Dispenser Papel Toalha Interfolha Compacto Verde - Premisse</strong></span></div><div><span><span>Toalheiro pl&aacute;stico compacto, possui exclusivo sistema interno que garante a efici&ecirc;ncia na sa&iacute;da do papel, permitindo a sa&iacute;da &ldquo;folha por folha&rdquo; evitando desperd&iacute;cio. Seu abastecimento &eacute; f&aacute;cil e pratico.</span></span></div><div>A linha de&nbsp;Dispensers Urban Premisse&nbsp;apresentam os modelos mais modernos e revolucion&aacute;rios do mercado. Inspirados nas grandes cidades, seu design deixa o ambiente agrad&aacute;vel e sofisticado. Os produtos apresentam formas arredondas e muito bem desenhadas. A linha Urban possui um sistema inteligente de abertura que permite ao usu&aacute;rio o acesso f&aacute;cil e r&aacute;pido para reposi&ccedil;&atilde;o, possibilita o uso de chaves, mantendo seguran&ccedil;a e discri&ccedil;&atilde;o.</div><div>&nbsp;</div><ul>	<li>Dispenser Multiplo Compacto Higi&ecirc;nico e Toalha Verde</li>	<li>Composto pl&aacute;stico transparente especial com alta resist&ecirc;ncia ao impacto.</li>	<li>Processo de produ&ccedil;&atilde;o por inje&ccedil;&atilde;o termoplastica.</li>	<li>Design moderno que combina com todos ambientes.</li>	<li>Sistema inteligente de abertura e fechamento.</li>	<li>Espa&ccedil;o interno com todas as paredes revestidas que garante mais higiene evitando umidade e poeira.</li></ul><p><strong><strong><em>Garantia:</em></strong></strong><br /><strong>12 meses contra defeito de fabrica&ccedil;&atilde;o</strong><br /><strong>Imagem meramente ilustrativa</strong></p>";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_papel_toalha_interfolhado_ou_higienico_cai_cai_urban_glass_verde_premisse_51_1_20200406110813.jpg";"";"";"";"38,18";"335";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Premisse";"";"C19285";"";"";"";"";"0,00";"0,00";"Disponível em 30 dias úteis";"";"";"13";"25";"15";"17/02/2020";"29/07/2020";"Dispenser para Papel Toalha Interfolhado ou Cai cai";"Toalheiro plástico na cor verde, é compacto e charmoso. Possui um sistema interno exclusivo, que garante a eficiência na saída do papel, permitindo a saída folha por folha, assim evitando desperdício, com abastecimento fácil e pratico. Linha Urban Premisse";"toalheiro plástico, toalheiro de papel, toalheiro cai cai, dispenser plástico, dispenser de papel, dispenser compacto para papel toalha, toalheiro resistente, artigos para banheiro, toalheiro higiênico, papel toalha cai cai, produtos premisse, linha urban ";"";"";"https://www.comali.com.br/dispenser-multiplo-compacto-p-toalha-ou-p-higienico-urban-glass-verde-19285-premisse";"";"Papel Toalha Interfolhado";"Sim"
"57";"746334";"163";"17/02/2020";"Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai - Urban Glass Azul - Premisse";"<div><span>A linha de</span><strong>&nbsp;Dispensers Urban Premisse</strong><span>&nbsp;apresentam os modelos mais modernos e revolucion&aacute;rios do mercado. Inspirados nas grandes cidades, seu design deixa o ambiente agrad&aacute;vel e sofisticado.&nbsp;Os produtos apresentam formas arredondas e muito bem desenhadas. A linha Urban possui um sistema inteligente de abertura que permite ao usu&aacute;rio o acesso f&aacute;cil e r&aacute;pido para reposi&ccedil;&atilde;o, possibilita o uso de chaves, mantendo seguran&ccedil;a e discri&ccedil;&atilde;o. O primeiro aparelho Flex, que pode ser utilizado tanto como Toalheiro (folhas 2 ou tr&ecirc;s dobras) ou como Porta Papel Higi&ecirc;nico cai cai, a partir da f&aacute;cil modifica&ccedil;&atilde;o de algumas pe&ccedil;as internas.</span></div><div>&nbsp;</div><ul>	<li>Dispenser Multiplo Higi&ecirc;nico cai cai e papel Toalha, Azul.</li>	<li>Composto pl&aacute;stico transparente especial com alta resist&ecirc;ncia ao impacto.</li>	<li>Processo de produ&ccedil;&atilde;o por inje&ccedil;&atilde;o termoplastica.</li>	<li>Design moderno que combina com todos ambientes.</li>	<li>Sistema inteligente de abertura e fechamento.</li>	<li>Possibilita a troca do tubete, que facilita a utiliza&ccedil;&atilde;o de todas as marcas existente no mercado</li>	<li>Espa&ccedil;o interno com todas as paredes revestidas que garante mais higiene evitando umidade e poeira.</li>	<li>Visor central transparente permite visibilidade interna, facilitando o abastecimento.</li></ul><p><strong>Garantia:</strong><br /><strong>12 meses contra defeito de fabrica&ccedil;&atilde;o</strong><br /><br /><strong>* Imagem meramente ilustrativa</strong></p>";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_multiplo_para_papel_toalha_interfolhado_ou_higienico_cai_cai_urban_glass_azul_premisse_57_1_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_multiplo_para_papel_toalha_interfolhado_ou_higienico_cai_cai_urban_glass_azul_premisse_57_2_20200406110814.jpg";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_multiplo_para_papel_toalha_interfolhado_ou_higienico_cai_cai_urban_glass_azul_premisse_57_3_20200305134105.jpg";"";"39,79";"335";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Premisse";"";"C19286";"7898912018403";"";"";"";"0,00";"0,00";"Disponível em 30 dias úteis";"";"";"13";"25";"15";"14/08/2020";"06/11/2020";"Dispenser para Papel Toalha Interfolhado ou Gigiênico Cai Cai";"O modelo mais moderno e revolucionário do mercado, inspirados nas grandes cidades, seu design deixa o ambiente agradável e sofisticado, com formas arredondas e muito bem desenhadas, sistema inteligente de abertura que permite ao usuário o acesso fácil.";"dispenser de papel toalha, toalheiro, papel toalha, dispenser cai cai, dispenser urban, dispensers Urban Premisse, dispenser papel premisse, dispenser moderno de papel, dispenser urban cai cai, dispenser para banheiro, dispenser de papel toalha pratico";"";"";"https://www.comali.com.br/disp-multiplo-compacto-azul-19826-premisse";"";"Dispenser Plástico";"Sim"
"71";"746334";"163";"17/02/2020";"Dispenser para Sabonete Líquido com Reservatório - Velox Dark Premisse";"<p><em><strong>Saboneteira Velox Premisse Dark 800ml</strong></em></p><p>A linha de Dispensers Dark Velox possuem um formato diferenciado inspirados nos mais renomados pr&ecirc;mios de design. Confeccionado em termopl&aacute;stico de alta resist&ecirc;ncia ao impacto, o produto se encaixa facilmente em todos os ambientes, dos mais simples aos mais requisitados.<br />Possuem geometria que minimizam a umidade e a poeira. Conta com um sistema de travas discreto e seguro que dispensa o uso de chaves, al&eacute;m do visor transparente que permite r&aacute;pida visualiza&ccedil;&atilde;o do conte&uacute;do para facilitar o abastecimento.</p><ul>	<li>Constitu&iacute;do em pl&aacute;stico com alta resist&ecirc;ncia ao impacto.</li>	<li>Material em abs de baixa densidade;</li>	<li>Design moderno;</li>	<li>Sistema de fechamento exclusivo, pode ser fechado com ou sem chave;</li>	<li>Aceita refil ou reservat&oacute;rio para abastecer;</li>	<li>Garante higiene, evitando umidade e poeira;</li>	<li>Visor central transparente para facilitar a visibilidade do sabonete, facilitando o abastecimento;</li>	<li>Acompanha parafuso e bucha para fixa&ccedil;&atilde;o.</li>	<li>Medidas: L 10,5cm x A 25,5cm x 11cm&nbsp;&nbsp;</li></ul><p>Inclui reservat&oacute;rio c&oacute;d: C19120</p><p><strong>Garantia</strong><br /><strong>12 meses contra defeito de fabrica&ccedil;&atilde;o</strong></p><p><strong>* Imagem meramente ilustrativa</strong></p>";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_sabonete_liquido_com_reservatorio_velox_dark_premisse_71_1_20200406110813.png";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_sabonete_liquido_com_reservatorio_velox_dark_premisse_71_2_20200406110814.jpg";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_sabonete_liquido_com_reservatorio_velox_dark_premisse_71_3_20200406110814.jpg";"";"0,00";"673";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Premisse";"";"C19423C19120";"";"";"";"";"23,83";"0,00";"Disponível em 30 dias úteis";"";"";"14";"27";"29";"17/02/2020";"06/11/2020";"";"";"";"";"";"https://www.comali.com.br/saboneteira-p-sabonete-liquido-800ml-velox-dark-premisse";"";"Dispenser Plástico";"Sim"
"75";"746334";"163";"17/02/2020";"Dispenser para Papel Higiênico Rolão Velox Dark - Premisse";"<p>A linha de dispensers Clean Velox Consiste no relan&ccedil;amento de outra linha de grande sucesso da Premisse.&nbsp;</p><p><strong>Aplica&ccedil;&atilde;o:</strong>&nbsp;Verifique o local correto para parafusar o dispenser estando sempre atento &aacute;s redes hidr&aacute;ulicas e el&eacute;tricas. No caso de uso de fita dupla face (n&atilde;o inclusa), limpe a &aacute;rea com &aacute;lcool, retire o liner protetor da fita e posicione o dispenser no azulejo ou alvenaria. Apenas parafusos acompanham a linha Clean Velox .</p><p><strong>T&eacute;cnicos:</strong></p><ul>	<li>Constitu&iacute;do em pl&aacute;stico com alta resist&ecirc;ncia a impacto.&nbsp;</li>	<li>Processo de produ&ccedil;&atilde;o por inje&ccedil;&atilde;o termopl&aacute;stica.&nbsp;</li>	<li>Sistema de fechamento exclusivo que dispensa chave.&nbsp;</li>	<li>Tecla aperte com limite de curso que garante efici&ecirc;ncia de sa&iacute;da do sabonete com controle de qualidade.&nbsp;</li>	<li>Espa&ccedil;o interno com todas as paredes revestidas, o que garante mais higiene evitando umidade e poeira.&nbsp;</li>	<li>Visor transparente que permite a visualiza&ccedil;&atilde;o do conte&uacute;do, facilitando o abastecimento.</li>	<li>Para rolos de 300/500m</li></ul><p><strong>Dimens&otilde;e</strong>s:<br />265x290x135mm</p><p><strong>Garantia</strong><br /><strong>12 meses contra defeito de fabrica&ccedil;&atilde;o</strong></p><p><strong>* Imagem meramente ilustrativa</strong></p>";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_papel_higienico_rolao_velox_dark_premisse_75_2_20200406110814.jpg";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_papel_higienico_rolao_velox_dark_premisse_75_1_20200406110813.jpg";"https://images.tcdn.com.br/img/img_prod/746334/dispenser_para_papel_higienico_rolao_velox_dark_premisse_75_3_20200305134106.jpg";"";"0,00";"675";"0.00";"1";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Premisse";"";"C19434";"";"";"";"";"24,49";"0,00";"Disponível em 30 dias úteis";"";"";"14";"27";"29";"17/02/2020";"06/11/2020";"";"";"";"";"";"https://www.comali.com.br/dispenser-papel-higienico-rolao-dark-premisse";"";"Dispenser Plástico";"Sim"
"81";"746334";"1";"17/02/2020";"Reservatório Dispenser de Sabonete Líquido - Premisse C19120";"<p><em><strong>Caracter&iacute;sticas</strong></em>:<br />Reservat&oacute;rio constitu&iacute;do em pl&aacute;stico;&nbsp;<br />Possui tampa superior, para inser&ccedil;&atilde;o/abastecimento de sabonete l&iacute;quido;<br />E mangueira com bico dosador pra encaixe na sa&iacute;da do produto.&nbsp;</p><ul>	<li>Material: Pl&aacute;stico</li>	<li>Marca: Premisse</li>	<li>Peso: 60g.&nbsp;&nbsp;</li>	<li>Dimens&otilde;es: 9,2 x 9,1 x 15 cm</li></ul>";"https://images.tcdn.com.br/img/img_prod/746334/reservatorio_para_dispenser_de_sabonete_liquido_premisse_81_4_20200406110816.jpg";"https://images.tcdn.com.br/img/img_prod/746334/reservatorio_para_dispenser_de_sabonete_liquido_premisse_81_1_20200406110814.png";"https://images.tcdn.com.br/img/img_prod/746334/reservatorio_para_dispenser_de_sabonete_liquido_premisse_81_2_20200406110814.png";"https://images.tcdn.com.br/img/img_prod/746334/reservatorio_para_dispenser_de_sabonete_liquido_premisse_81_3_20200406110815.jpg";"0,00";"50";"0.00";"11";"0";"Não";"";"";"0,00";"Não";"Não";"Não";"0";"Premisse";"";"C19120";"";"";"";"";"7,20";"0,00";"Disponível em 5 dias úteis";"";"";"9";"10";"11";"17/02/2020";"01/07/2023";"";"";"";"";"";"https://www.comali.com.br/reservatorio-p-saboneteira-liquida-c19120-premisse";"";"Dispenser";"Sim"
